Local Case Number,ACRS Report Type,Crash Date/Time,Road Name,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle Body Type,Vehicle Movement,Speed Limit,Driverless Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,Year,Month,Hour
260019493,Injury Crash,05/05/2026 10:43:00 PM,NEW HAMPSHIRE AVE (SB/L),NA,Front to Front,Clear,Dry,Medium,No Controls,ALCOHOL PRESENT,Yes,No Apparent Injury,"Disregarded Other Road Markings, Operated Motor Vehicle in Inattentive, Careless, Negligent, or Erratic Manner, Wrong Side, Wrong Way",Unknown,MD,Passenger Car,Moving Constant Speed,40,No,2026,HONDA,CIVIC,39.03271067,-76.98539433,2026,5,22
260019493,Injury Crash,05/05/2026 10:43:00 PM,NEW HAMPSHIRE AVE (SB/L),NA,Front to Front,Clear,Dry,Medium,No Controls,NONE DETECTED,No,Possible Minor Injury,NA,Not Distracted,MD,Passenger Car,Moving Constant Speed,40,No,2018,VOLKSWAGEN,GOLF GTI,39.03271067,-76.98539433,2026,5,22
260019487,Property Damage Crash,05/05/2026 09:43:00 PM,VEIRS MILL RD,NA,Front to Rear,Clear,Dry,Medium,Flashing Traffic Control Signal,NONE DETECTED,No,No Apparent Injury,Other Improper Action,Not Distracted,MD,Passenger Car,Stopped in Traffic,35,No,2023,TOYOTA,RAV4,39.07866033,-77.13205117,2026,5,21
260019487,Property Damage Crash,05/05/2026 09:43:00 PM,VEIRS MILL RD,NA,Front to Rear,Clear,Dry,Medium,Flashing Traffic Control Signal,ALCOHOL PRESENT,No,No Apparent Injury,"Followed Too Closely, Operated Motor Vehicle in Inattentive, Careless, Negligent, or Erratic Manner, Operated Motor Vehicle in Reckless or Aggressive Manner, Other Improper Action",Unknown,NA,Passenger Car,Accelerating,35,No,2005,TOYOTA,CAMRY,39.07866033,-77.13205117,2026,5,21
260019485,Property Damage Crash,05/05/2026 09:30:00 PM,PIPING ROCK DR,NA,Angle,Clear,Dry,Medium,No Controls,NONE DETECTED,No,No Apparent Injury,NA,Not Distracted,MD,Passenger Car,Moving Constant Speed,45,No,2020,VOLKSWAGEN,JETTA,39.09698583,-77.00256383,2026,5,21
260019485,Property Damage Crash,05/05/2026 09:30:00 PM,PIPING ROCK DR,NA,Angle,Clear,Dry,Medium,Lane Use Control Signal,NONE DETECTED,Yes,No Apparent Injury,Failed to Yield Right-of-Way,Unknown,MD,Sport Utility Vehicle,Entering Traffic Lane,25,No,2025,KIA,SORENTO,39.09698583,-77.00256383,2026,5,21
260019479,Property Damage Crash,05/05/2026 08:20:00 PM,LINCOLN ST,Cyclist (non-electric),Single Vehicle,Clear,Dry,Dark,Traffic Control Signal,NONE DETECTED,No,NA,NA,NA,NA,NA,Accelerating,25,No,0,NA,NA,38.99817407,-77.10956426,2026,5,20
260019469,Injury Crash,05/05/2026 07:33:00 PM,OLD BALTIMORE RD,NA,Angle,Clear,Dry,Daylight,Traffic Control Signal,NONE DETECTED,No,Possible Minor Injury,NA,Not Distracted,MD,Passenger Car,Accelerating,40,No,2020,CHEVROLET,TRAX,39.14656267,-77.05045383,2026,5,19
260019469,Injury Crash,05/05/2026 07:33:00 PM,OLD BALTIMORE RD,NA,Angle,Clear,Dry,Daylight,Traffic Control Signal,NONE DETECTED,Yes,No Apparent Injury,Ran Red Light,Not Distracted,MD,Sport Utility Vehicle,Moving Constant Speed,30,No,2009,JEEP,WRANGLER,39.14656267,-77.05045383,2026,5,19
260019438,Injury Crash,05/05/2026 04:35:00 PM,CENTERWAY RD (WB/L),Pedestrian,Single Vehicle,Clear,Dry,Daylight,No Controls,NONE DETECTED,Yes,No Apparent Injury,NA,Unknown,MD,Passenger Car,Turning Left,35,No,2011,TOYOTA,CAMRY,39.17261866,-77.20202399,2026,5,16
