Local Case Number,Crash Date/Time,Road Name,Related Non-Motorist,Weather,Surface Condition,Light,Driver Substance Abuse,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,At Fault,Injury Severity,Safety Equipment,Latitude,Longitude,Year,Month,Hour
260019479,05/05/2026 08:20:00 PM,LINCOLN ST,Cyclist (non-electric),Clear,Dry,Dark,"Unknown, Unknown",Cyclist (non-electric),Cross/Enter at Intersection,Unknown,Intersection Marked Crosswalk,No,No Apparent Injury,Unknown,38.99817407,-77.10956426,2026,5,20
260019438,05/05/2026 04:35:00 PM,CENTERWAY RD (WB/L),Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Walking/Cycling on Sidewalk,None (No Improper Action),Sidewalk,No,Suspected Serious Injury,None,39.17261866,-77.20202399,2026,5,16
260019438,05/05/2026 04:35:00 PM,CENTERWAY RD (WB/L),Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Walking/Cycling on Sidewalk,None (No Improper Action),Sidewalk,No,Possible Minor Injury,None,39.17261866,-77.20202399,2026,5,16
260019385,05/05/2026 12:20:00 PM,NA,Cyclist (non-electric),Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Cyclist (non-electric),Walking/Cycling on Sidewalk,Unknown,Sidewalk,No,No Apparent Injury,None,39.054531420000004,-77.05032612,2026,5,12
260019263,05/04/2026 05:30:00 PM,BROADBIRCH DR,Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter at Intersection,None (No Improper Action),Intersection Marked Crosswalk,No,Possible Minor Injury,None,39.05561463,-76.96177969,2026,5,17
260019246,05/04/2026 04:06:00 PM,ARDENNES AVE,Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),None (No Improper Action),Other,Yes,Possible Minor Injury,None,39.06529972,-77.11823774,2026,5,16
260019175,05/04/2026 10:40:00 AM,COLESVILLE RD (WB/L),Cyclist (non-electric),Clear,Dry,Daylight,"Unknown, Unknown",Cyclist (non-electric),Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),"Failure to Obey Traffic Signs, Signals, or Officer",Travel Lane Other Location,No,Possible Minor Injury,None,38.99481767,-77.03022948,2026,5,10
260019098,05/03/2026 08:00:00 PM,NA,Pedestrian,Clear,Dry,Medium,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter at Intersection,"Failure to Obey Traffic Signs, Signals, or Officer, Inattentive (Talking, Eating, etc.)",Intersection Marked Crosswalk,Yes,Possible Minor Injury,None,39.09187463,-77.07035495,2026,5,20
260018952,05/02/2026 04:52:00 PM,NA,Pedestrian,Clear,NA,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Standing,None (No Improper Action),Other,No,Possible Minor Injury,None,39.0561241,-77.04677472,2026,5,16
260018949,05/02/2026 04:45:00 PM,EVANSTON ST,Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter Not at Intersection,"Dart/Dash, In Roadway Improperly (Standing, Lying, Working, Playing)",Other,Yes,Possible Minor Injury,None,39.06694614,-77.09056743,2026,5,16
260018967,05/02/2026 11:30:00 AM,ROCKVILLE PIKE (SB/L),Cyclist (non-electric),Clear,Dry,Daylight,"Unknown, Unknown",Cyclist (non-electric),Walking/Cycling on Sidewalk,None (No Improper Action),Sidewalk,No,No Apparent Injury,None,39.07601346,-77.13792487,2026,5,11
260018528,04/30/2026 08:35:00 AM,SUGARBUSH LA,Cyclist (Electric),Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Cyclist (Electric),Cross/Enter at Intersection,None (No Improper Action),Intersection Unmarked Crosswalk,No,Possible Minor Injury,Helmet,39.03190713,-77.11799533,2026,4,8
260018513,04/30/2026 07:38:00 AM,PLUMMER DR (EB/L),Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter at Intersection,Unknown,Intersection Marked Crosswalk,No,Possible Minor Injury,Unknown,39.17159632,-77.2361159,2026,4,7
260018490,04/29/2026 09:00:00 PM,STRATHMORE ST,Pedestrian,Rain,Wet,Dark,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter at Intersection,None (No Improper Action),Intersection Marked Crosswalk,No,Possible Minor Injury,None,38.9778885,-77.092637,2026,4,21
260018245,04/28/2026 04:55:00 PM,MUNCASTER MILL RD,Pedestrian,Cloudy,Dry,Daylight,"Unknown, Unknown",Pedestrian,Walking/Cycling on Sidewalk,Unknown,Sidewalk,No,Possible Minor Injury,None,39.1487781,-77.1471454,2026,4,16
260018068,04/27/2026 06:06:00 PM,CHAPMAN AVE,Cyclist (non-electric),Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Cyclist (non-electric),Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),None (No Improper Action),Shoulder/Roadside,No,No Apparent Injury,Other,39.06230831,-77.12201893,2026,4,18
260017831,04/25/2026 11:50:00 PM,ROCKVILLE PIKE,Pedestrian,Clear,Wet,Medium,NA,Pedestrian,Cross/Enter Not at Intersection,Unknown,Median/Crossing Island,No,Possible Minor Injury,None,39.07555453,-77.13714509,2026,4,23
260017780,04/25/2026 03:58:00 PM,HUNGERFORD DR (SB/L),Occupant Of a Non-Motor Vehicle Transportation Device,Rain,Wet,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Occupant Of a Non-Motor Vehicle Transportation Device,Walking/Cycling on Sidewalk,Unknown,Intersection Marked Crosswalk,Yes,Possible Minor Injury,None,39.08738724,-77.15025721,2026,4,15
260017778,04/25/2026 03:46:00 PM,MOZART DR,Scooter (non-Electric),Cloudy,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Scooter (non-Electric),Cross/Enter Not at Intersection,Dart/Dash,Shoulder/Roadside,Yes,Possible Minor Injury,None,39.06992439,-76.94834889,2026,4,15
260017617,04/24/2026 04:00:00 PM,LAMBERTON DR,Pedestrian,Clear,Wet,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,None,None (No Improper Action),Travel Lane Other Location,No,Possible Minor Injury,None,39.04378767,-77.024344,2026,4,16
